pH,moisture,humidity,temperature,crop
6.83,0.63,0.39,0.14,gladiola
6.65,0.73,0.37,0.17,gladiola
6.25,0.72,0.39,0.15,gladiola
6.6,0.78,0.39,0.19,gladiola
6.51,0.67,0.34,0.19,gladiola
6.3,0.76,0.36,0.18,gladiola
6.97,0.69,0.44,0.13,gladiola
6.09,0.71,0.3,0.15,gladiola
6.88,0.69,0.41,0.14,gladiola
6.61,0.67,0.36,0.19,gladiola
6.92,0.79,0.39,0.16,gladiola
6.78,0.67,0.38,0.17,gladiola
6.68,0.6,0.39,0.14,gladiola
6.18,0.7,0.43,0.13,gladiola
6.85,0.78,0.32,0.18,gladiola
6.05,0.69,0.43,0.2,gladiola
6.79,0.71,0.4,0.17,gladiola
6.4,0.73,0.37,0.12,gladiola
6.03,0.74,0.32,0.17,gladiola
6.18,0.61,0.44,0.17,gladiola
6.02,0.73,0.32,0.15,gladiola
6.22,0.69,0.32,0.12,gladiola
6.38,0.66,0.35,0.15,gladiola
6.14,0.8,0.39,0.14,gladiola
6.91,0.68,0.39,0.14,gladiola
6.84,0.67,0.33,0.19,gladiola
6.7,0.7,0.31,0.13,gladiola
6.49,0.77,0.36,0.15,gladiola
6.21,0.64,0.31,0.17,gladiola
6.52,0.7,0.35,0.14,gladiola
6.76,0.67,0.37,0.15,gladiola
6.91,0.77,0.31,0.17,gladiola
6.58,0.73,0.42,0.17,gladiola
6.27,0.79,0.32,0.15,gladiola
6.39,0.61,0.32,0.13,gladiola
6.18,0.68,0.4,0.19,gladiola
6.14,0.74,0.34,0.17,gladiola
6.35,0.76,0.33,0.17,gladiola
6.3,0.69,0.42,0.12,gladiola
6.35,0.6,0.43,0.19,gladiola
6.6,0.77,0.41,0.18,gladiola
6.46,0.71,0.4,0.12,gladiola
6.76,0.77,0.3,0.16,gladiola
6.69,0.75,0.39,0.18,gladiola
6.5,0.74,0.32,0.16,gladiola
6.09,0.61,0.35,0.19,gladiola
6.42,0.67,0.44,0.15,gladiola
6.19,0.72,0.43,0.15,gladiola
6.0,0.72,0.35,0.18,gladiola
6.57,0.73,0.3,0.13,gladiola
6.01,0.68,0.34,0.2,gladiola
6.49,0.68,0.4,0.13,gladiola
6.76,0.6,0.44,0.18,gladiola
6.27,0.63,0.4,0.19,gladiola
6.95,0.65,0.39,0.13,gladiola
6.63,0.6,0.35,0.12,gladiola
6.52,0.61,0.39,0.16,gladiola
6.46,0.72,0.32,0.15,gladiola
6.26,0.79,0.39,0.15,gladiola
6.61,0.62,0.34,0.19,gladiola
6.37,0.64,0.35,0.14,gladiola
6.6,0.67,0.4,0.17,gladiola
6.91,0.64,0.32,0.13,gladiola
6.42,0.63,0.44,0.19,gladiola
6.37,0.72,0.43,0.18,gladiola
6.72,0.63,0.37,0.18,gladiola
6.65,0.66,0.39,0.17,gladiola
6.43,0.61,0.35,0.14,gladiola
6.22,0.79,0.31,0.15,gladiola
6.16,0.64,0.44,0.19,gladiola
6.27,0.74,0.4,0.17,gladiola
6.04,0.63,0.38,0.18,gladiola
6.7,0.79,0.43,0.15,gladiola
6.06,0.7,0.38,0.19,gladiola
6.01,0.76,0.37,0.18,gladiola
6.49,0.77,0.41,0.13,gladiola
6.36,0.69,0.42,0.16,gladiola
6.29,0.75,0.31,0.13,gladiola
6.57,0.68,0.32,0.17,gladiola
6.86,0.66,0.41,0.12,gladiola
6.35,0.66,0.31,0.17,gladiola
6.67,0.75,0.39,0.19,gladiola
6.79,0.76,0.45,0.16,gladiola
6.43,0.6,0.36,0.16,gladiola
6.45,0.66,0.45,0.15,gladiola
6.78,0.64,0.37,0.14,gladiola
6.66,0.61,0.43,0.14,gladiola
6.87,0.66,0.32,0.18,gladiola
6.86,0.66,0.45,0.15,gladiola
6.6,0.63,0.35,0.15,gladiola
6.94,0.66,0.41,0.18,gladiola
6.76,0.61,0.44,0.13,gladiola
6.88,0.79,0.31,0.12,gladiola
6.87,0.67,0.39,0.15,gladiola
6.57,0.62,0.34,0.19,gladiola
6.04,0.6,0.44,0.18,gladiola
6.82,0.74,0.32,0.17,gladiola
6.67,0.78,0.4,0.17,gladiola
6.77,0.6,0.44,0.13,gladiola
6.84,0.63,0.38,0.12,gladiola
6.64,0.64,0.4,0.14,gladiola
6.17,0.66,0.32,0.16,gladiola
6.93,0.68,0.34,0.14,gladiola
6.12,0.7,0.35,0.19,gladiola
6.9,0.78,0.37,0.13,gladiola
6.55,0.66,0.37,0.15,gladiola
6.16,0.6,0.45,0.19,gladiola
6.97,0.78,0.39,0.16,gladiola
6.94,0.73,0.31,0.15,gladiola
6.99,0.71,0.41,0.14,gladiola
6.01,0.63,0.41,0.15,gladiola
6.77,0.6,0.37,0.15,gladiola
6.67,0.66,0.45,0.19,gladiola
6.42,0.77,0.41,0.2,gladiola
6.83,0.65,0.32,0.17,gladiola
6.36,0.62,0.43,0.18,gladiola
6.87,0.63,0.4,0.16,gladiola
6.02,0.65,0.31,0.17,gladiola
6.55,0.7,0.3,0.13,gladiola
6.12,0.66,0.41,0.13,gladiola
6.49,0.8,0.35,0.14,gladiola
6.55,0.75,0.41,0.18,gladiola
6.54,0.64,0.34,0.13,gladiola
6.05,0.68,0.39,0.2,gladiola
6.68,0.74,0.45,0.12,gladiola
6.97,0.78,0.3,0.15,gladiola
6.73,0.67,0.37,0.12,gladiola
6.13,0.76,0.38,0.12,gladiola
6.64,0.63,0.37,0.15,gladiola
6.7,0.61,0.4,0.19,gladiola
6.83,0.65,0.34,0.13,gladiola
6.29,0.77,0.34,0.16,gladiola
6.01,0.79,0.3,0.16,gladiola
6.58,0.74,0.45,0.19,gladiola
6.54,0.65,0.33,0.13,gladiola
6.59,0.66,0.4,0.12,gladiola
6.92,0.65,0.36,0.13,gladiola
6.59,0.63,0.31,0.18,gladiola
6.48,0.65,0.43,0.16,gladiola
6.62,0.72,0.35,0.18,gladiola
6.91,0.76,0.44,0.19,gladiola
6.26,0.71,0.42,0.15,gladiola
6.15,0.65,0.36,0.17,gladiola
6.83,0.74,0.41,0.18,gladiola
6.26,0.71,0.42,0.18,gladiola
6.69,0.76,0.37,0.15,gladiola
6.59,0.64,0.31,0.18,gladiola
6.93,0.73,0.39,0.19,gladiola
6.24,0.69,0.4,0.17,gladiola
6.69,0.68,0.43,0.16,gladiola
6.67,0.72,0.44,0.16,gladiola
6.19,0.75,0.37,0.2,gladiola
6.02,0.67,0.4,0.14,gladiola
6.9,0.62,0.34,0.19,gladiola
6.25,0.72,0.32,0.15,gladiola
6.05,0.76,0.32,0.18,gladiola
6.22,0.77,0.36,0.13,gladiola
6.08,0.63,0.44,0.16,gladiola
6.92,0.61,0.44,0.19,gladiola
6.04,0.8,0.36,0.12,gladiola
6.49,0.68,0.41,0.18,gladiola
6.67,0.72,0.43,0.16,gladiola
6.91,0.74,0.4,0.2,gladiola
6.94,0.74,0.37,0.14,gladiola
6.39,0.72,0.42,0.18,gladiola
6.89,0.64,0.36,0.14,gladiola
6.96,0.77,0.32,0.17,gladiola
6.93,0.65,0.35,0.15,gladiola
6.7,0.65,0.37,0.17,gladiola
6.45,0.71,0.36,0.15,gladiola
6.16,0.63,0.39,0.18,gladiola
6.99,0.63,0.45,0.2,gladiola
6.89,0.74,0.37,0.14,gladiola
6.34,0.78,0.41,0.13,gladiola
6.71,0.62,0.44,0.19,gladiola
6.24,0.67,0.38,0.14,gladiola
6.32,0.77,0.42,0.19,gladiola
6.46,0.66,0.44,0.17,gladiola
6.53,0.72,0.32,0.18,gladiola
6.6,0.6,0.31,0.16,gladiola
6.53,0.73,0.32,0.13,gladiola
6.17,0.72,0.37,0.16,gladiola
6.94,0.65,0.35,0.19,gladiola
6.01,0.62,0.3,0.16,gladiola
6.44,0.62,0.33,0.18,gladiola
6.76,0.61,0.32,0.17,gladiola
6.56,0.71,0.45,0.18,gladiola
6.61,0.66,0.39,0.17,gladiola
6.27,0.6,0.35,0.19,gladiola
6.64,0.75,0.36,0.17,gladiola
6.64,0.78,0.35,0.19,gladiola
6.95,0.66,0.34,0.14,gladiola
6.63,0.77,0.41,0.17,gladiola
6.88,0.64,0.36,0.19,gladiola
6.35,0.79,0.41,0.13,gladiola
6.27,0.74,0.33,0.12,gladiola
6.12,0.76,0.33,0.15,gladiola
6.01,0.73,0.42,0.17,gladiola
6.5,0.75,0.36,0.14,gladiola
6.29,0.76,0.4,0.14,gladiola
6.98,0.73,0.45,0.16,gladiola
6.15,0.62,0.42,0.17,gladiola
6.59,0.72,0.42,0.18,gladiola
6.17,0.61,0.39,0.16,gladiola
6.51,0.76,0.35,0.13,gladiola
6.07,0.76,0.42,0.15,gladiola
6.4,0.69,0.4,0.16,gladiola
6.66,0.79,0.34,0.18,gladiola
6.27,0.7,0.39,0.18,gladiola
6.7,0.61,0.44,0.12,gladiola
6.43,0.7,0.32,0.14,gladiola
6.76,0.66,0.37,0.17,gladiola
6.37,0.7,0.41,0.18,gladiola
6.78,0.63,0.35,0.16,gladiola
6.58,0.69,0.44,0.17,gladiola
6.1,0.68,0.3,0.12,gladiola
6.72,0.74,0.33,0.18,gladiola
6.15,0.78,0.44,0.18,gladiola
6.31,0.79,0.31,0.12,gladiola
6.75,0.66,0.38,0.16,gladiola
6.6,0.77,0.37,0.13,gladiola
6.57,0.78,0.39,0.13,gladiola
6.29,0.61,0.42,0.19,gladiola
6.84,0.63,0.31,0.15,gladiola
6.76,0.73,0.36,0.14,gladiola
6.35,0.76,0.44,0.17,gladiola
6.79,0.66,0.33,0.17,gladiola
6.12,0.67,0.35,0.12,gladiola
6.51,0.67,0.44,0.13,gladiola
6.15,0.69,0.34,0.15,gladiola
6.55,0.65,0.38,0.17,gladiola
6.63,0.61,0.44,0.18,gladiola
6.29,0.76,0.43,0.13,gladiola
6.69,0.8,0.41,0.13,gladiola
6.15,0.7,0.38,0.18,gladiola
6.53,0.78,0.34,0.13,gladiola
6.93,0.62,0.41,0.18,gladiola
6.32,0.78,0.31,0.13,gladiola
6.82,0.71,0.4,0.2,gladiola
6.58,0.72,0.32,0.14,gladiola
6.94,0.65,0.32,0.2,gladiola
6.15,0.76,0.31,0.15,gladiola
6.66,0.61,0.31,0.18,gladiola
6.99,0.76,0.38,0.12,gladiola
6.6,0.71,0.31,0.15,gladiola
6.33,0.66,0.43,0.19,gladiola
6.5,0.65,0.37,0.17,gladiola
6.8,0.77,0.38,0.12,gladiola
6.53,0.76,0.41,0.2,gladiola
6.71,0.72,0.38,0.16,gladiola
6.55,0.66,0.45,0.16,gladiola
6.89,0.62,0.44,0.14,gladiola
6.01,0.62,0.4,0.12,gladiola
6.85,0.66,0.41,0.18,gladiola
6.71,0.6,0.37,0.18,gladiola
6.68,0.62,0.31,0.15,gladiola
6.32,0.63,0.37,0.15,gladiola
6.47,0.75,0.33,0.17,gladiola
6.13,0.79,0.33,0.19,gladiola
6.56,0.74,0.4,0.16,gladiola
6.76,0.75,0.41,0.15,gladiola
6.56,0.79,0.43,0.15,gladiola
6.75,0.73,0.37,0.17,gladiola
6.64,0.68,0.4,0.15,gladiola
6.22,0.63,0.37,0.18,gladiola
6.18,0.78,0.31,0.19,gladiola
6.55,0.67,0.37,0.14,gladiola
6.19,0.7,0.34,0.13,gladiola
6.65,0.7,0.4,0.15,gladiola
6.52,0.7,0.34,0.17,gladiola
6.74,0.73,0.45,0.18,gladiola
6.94,0.8,0.38,0.17,gladiola
6.9,0.67,0.37,0.16,gladiola
6.31,0.69,0.44,0.15,gladiola
6.21,0.75,0.33,0.16,gladiola
6.88,0.64,0.42,0.18,gladiola
6.49,0.71,0.32,0.17,gladiola
6.42,0.7,0.37,0.15,gladiola
6.44,0.67,0.33,0.18,gladiola
6.53,0.75,0.33,0.18,gladiola
6.88,0.76,0.43,0.18,gladiola
6.37,0.65,0.32,0.18,gladiola
6.89,0.7,0.43,0.13,gladiola
6.75,0.66,0.36,0.13,gladiola
6.32,0.62,0.39,0.14,gladiola
6.35,0.71,0.41,0.13,gladiola
6.79,0.65,0.38,0.17,gladiola
6.5,0.76,0.35,0.17,gladiola
6.41,0.73,0.42,0.18,gladiola
6.79,0.73,0.37,0.18,gladiola
6.48,0.64,0.3,0.17,gladiola
6.42,0.64,0.34,0.16,gladiola
6.02,0.66,0.38,0.18,gladiola
6.98,0.65,0.41,0.19,gladiola
6.75,0.71,0.44,0.15,gladiola
6.38,0.75,0.4,0.17,gladiola
6.11,0.74,0.38,0.15,gladiola
6.7,0.77,0.43,0.14,gladiola
6.65,0.77,0.4,0.19,gladiola
